Row,Drilling_Stress,Milling_Stress,Assembly_Stress,Max_Stress,Most_Abnormal_Zone,Zone_Status
0,0.6752532666813598,0.6749490437028431,0.5187718948133382,0.6752532666813598,Drilling,No clear abnormal zone
1,1.2220846317150842,1.127935723234147,1.4897429575387395,1.4897429575387395,Assembly,Assembly
2,1.2154338889256961,1.125560551104512,1.4804879155251067,1.4804879155251067,Assembly,Assembly
3,0.6415644651724226,0.5066186739819707,0.4560536339260852,0.6415644651724226,Drilling,No clear abnormal zone
4,1.2675419065765627,0.8561862631841609,0.9105317430360368,1.2675419065765627,Drilling,Drilling
5,0.8397372710335396,0.7216483405221066,0.8392017810278734,0.8397372710335396,Drilling,No clear abnormal zone
6,1.342897123453475,1.2477162816258207,1.6683838303300556,1.6683838303300556,Assembly,Assembly
7,0.8010683709898115,0.4457145775310133,0.7582941202673597,0.8010683709898115,Drilling,No clear abnormal zone
8,1.1193366827378064,0.7247230762473628,0.8927620667584342,1.1193366827378064,Drilling,Drilling
9,0.46102756611226037,0.5188025143593636,0.34898273509202504,0.5188025143593636,Milling,No clear abnormal zone
10,1.0713092951554852,0.9854946803312977,1.2360370636634768,1.2360370636634768,Assembly,Assembly
11,0.24718719334336522,0.29568140627686945,0.7645347470678708,0.7645347470678708,Assembly,No clear abnormal zone
12,0.30574108345643525,0.48794490156666914,0.6407277805290479,0.6407277805290479,Assembly,No clear abnormal zone
13,1.0136202557584981,0.9415247663763049,1.1286988053886438,1.1286988053886438,Assembly,Assembly
14,1.3426991168183453,0.6007911604292946,0.916485315142346,1.3426991168183453,Drilling,Drilling
15,1.2373697255660954,1.1400649067074515,1.5161799675907073,1.5161799675907073,Assembly,Assembly
16,1.0137926963790163,0.6725924167150121,0.9188238095129957,1.0137926963790163,Drilling,Drilling
17,1.1327103013768196,0.5369513628376512,0.8577064700275168,1.1327103013768196,Drilling,Drilling
18,1.0928246641932757,1.0040435405269066,1.2661820191177935,1.2661820191177935,Assembly,Assembly
19,0.5894413593788559,0.6183324748625287,0.4131027236426976,0.6183324748625287,Milling,No clear abnormal zone
20,1.168808392884025,1.4141231346412497,0.9209839824888082,1.4141231346412497,Milling,Milling
21,1.088305625650178,0.5528444490587893,0.8850455262180017,1.088305625650178,Drilling,Drilling
22,1.243364915877546,1.1467660532354556,1.5189209208004768,1.5189209208004768,Assembly,Assembly
23,0.4134323567392083,1.4246269886395537,0.815562468258902,1.4246269886395537,Milling,Milling
24,0.5544289562148002,0.5902071458160763,0.38832157640817766,0.5902071458160763,Milling,No clear abnormal zone
25,1.3462552158057433,0.8513618509626417,0.9091398520582641,1.3462552158057433,Drilling,Drilling
26,1.1351969509390962,1.0433367254025816,1.3280170092963985,1.3280170092963985,Assembly,Assembly
27,0.27350299015969565,0.15517960412599555,0.34820143954332455,0.34820143954332455,Assembly,No clear abnormal zone
28,1.1020282919406676,1.0102575277758148,1.2727158565011356,1.2727158565011356,Assembly,Assembly
29,1.1659575909040076,0.6539098912223669,0.8602876722165131,1.1659575909040076,Drilling,Drilling
30,0.3613709716344773,1.066837582096807,0.667137286535862,1.066837582096807,Milling,Milling
31,1.2753087495710826,0.9232906056557115,0.916885619741978,1.2753087495710826,Drilling,Drilling
32,0.6686072909504535,0.6772137930625497,0.5374017174539429,0.6772137930625497,Milling,No clear abnormal zone
33,1.1945214047242454,1.0988230847153941,1.4378883745251825,1.4378883745251825,Assembly,Assembly
34,0.4065187129134438,0.11204839854776545,0.4081638274884072,0.4081638274884072,Assembly,No clear abnormal zone
35,1.3357063188298939,1.2415326065098338,1.6684622038506898,1.6684622038506898,Assembly,Assembly
36,0.5710553946630661,0.5006994984009764,0.30675561507017474,0.5710553946630661,Drilling,No clear abnormal zone
37,1.0154328078459967,0.9437007444895986,1.1123975565039843,1.1123975565039843,Assembly,Assembly
38,1.3915727004935454,0.6326830394887423,0.9158699041977526,1.3915727004935454,Drilling,Drilling
39,0.6194089477351429,0.9270432368781663,0.4114843693324919,0.9270432368781663,Milling,No clear abnormal zone
40,0.48634879694267197,1.4347595599564564,0.8629874825120438,1.4347595599564564,Milling,Milling
41,0.28095486172731715,0.9688348024648148,0.7703127632129428,0.9688348024648148,Milling,No clear abnormal zone
42,0.3748066562390668,0.6564621909625427,0.6744779180691249,0.6744779180691249,Assembly,No clear abnormal zone
43,1.441967551102022,1.3447021160605237,1.6684622038506898,1.6684622038506898,Assembly,Assembly
44,0.7049953460100763,1.0197390867730491,0.5903589629303424,1.0197390867730491,Milling,Milling
45,0.8013216752625685,0.5646036984276002,0.9063132136162617,0.9063132136162617,Assembly,No clear abnormal zone
46,0.522403462527534,1.5649268855796654,0.41716458446032156,1.5649268855796654,Milling,Milling
47,0.3848740646345368,0.7990763698198424,0.4341450870860386,0.7990763698198424,Milling,No clear abnormal zone
48,0.5424334682003112,0.39252574318930733,0.8364285157317191,0.8364285157317191,Assembly,No clear abnormal zone
49,1.2346144522900473,1.1397704459876428,1.5094481960585382,1.5094481960585382,Assembly,Assembly
50,0.38984440433564355,1.0242084238563702,0.8334543148506841,1.0242084238563702,Milling,Milling
51,1.093382790260725,1.0034308024114216,1.2698540950212358,1.2698540950212358,Assembly,Assembly
52,0.3711308682050286,0.2337969020181907,0.387963918364417,0.387963918364417,Assembly,No clear abnormal zone
53,1.0986892649806326,1.0102965005181423,1.2760862684743355,1.2760862684743355,Assembly,Assembly
54,0.9898619739884249,1.0693385556548423,0.9000006133111507,1.0693385556548423,Milling,Milling
55,0.9744189815866326,0.894205361733486,1.0570680898835865,1.0570680898835865,Assembly,Assembly
56,1.0941989781957577,1.003974255651657,1.2700412130548717,1.2700412130548717,Assembly,Assembly
57,0.29401976161230775,0.44264467543757013,0.7410032053720681,0.7410032053720681,Assembly,No clear abnormal zone
58,0.6777147180532205,0.6325218629380032,0.8161963785053175,0.8161963785053175,Assembly,No clear abnormal zone
59,0.6873840947997124,0.5040671322463219,0.5555717910033725,0.6873840947997124,Drilling,No clear abnormal zone
60,0.23867866312678598,0.41817185579066074,0.7564605879143312,0.7564605879143312,Assembly,No clear abnormal zone
61,1.4961709541856778,0.6201873538661464,0.9193633051268493,1.4961709541856778,Drilling,Drilling
62,0.25450748150130453,0.42400869303993244,0.43913737839482503,0.43913737839482503,Assembly,No clear abnormal zone
63,0.7436305848200454,0.6269037274638551,0.8605404991499521,0.8605404991499521,Assembly,No clear abnormal zone
64,1.1470506778355596,2.147959083237466,0.9174206765307489,2.147959083237466,Milling,Milling
65,0.9685017933684912,0.898633098292377,1.0468991298170334,1.0468991298170334,Assembly,Assembly
66,0.31576882003211926,0.08842279307891403,0.3943662117665105,0.3943662117665105,Assembly,No clear abnormal zone
67,0.7084624892233715,0.6971375250013839,0.6142809060582174,0.7084624892233715,Drilling,No clear abnormal zone
68,0.2774639020369601,0.29963987655936797,0.64859624118184,0.64859624118184,Assembly,No clear abnormal zone
69,0.5601307737755201,0.5538755892404159,0.4161739248019669,0.5601307737755201,Drilling,No clear abnormal zone
70,0.49469958022749705,0.19471415418655344,0.36145575986579215,0.49469958022749705,Drilling,No clear abnormal zone
71,0.3098351178143707,0.34314273330329914,0.7699677863732939,0.7699677863732939,Assembly,No clear abnormal zone
72,1.1256570192924973,1.0311967161675193,1.32208844222471,1.32208844222471,Assembly,Assembly
73,0.3180530958972282,0.4489197620359946,0.8431313092401026,0.8431313092401026,Assembly,No clear abnormal zone
74,0.26689751954266966,1.2271314588553492,0.3369926629171217,1.2271314588553492,Milling,Milling
75,1.228534975324238,0.8499805174785195,0.9162112893797546,1.228534975324238,Drilling,Drilling
76,0.4750249284468051,0.4619345287197166,0.3952750860590659,0.4750249284468051,Drilling,No clear abnormal zone
77,1.1828955901560383,0.5587944263202327,0.9049976201445886,1.1828955901560383,Drilling,Drilling
78,0.26248541726513763,0.424225208275086,0.3161957192526174,0.424225208275086,Milling,No clear abnormal zone
79,1.012188654550305,0.9403166113641478,1.122278236463666,1.122278236463666,Assembly,Assembly
80,1.4185403693349106,0.9665872117254437,0.9155705145460138,1.4185403693349106,Drilling,Drilling
81,1.3427091709216283,1.2447240410759979,1.6675867578336676,1.6675867578336676,Assembly,Assembly
82,1.3495502700073139,0.7887940773346825,0.919596466025872,1.3495502700073139,Drilling,Drilling
83,0.39558345780671095,0.6081678652558544,0.8537852937885552,0.8537852937885552,Assembly,No clear abnormal zone
84,0.7470181567388785,0.38150955846103096,0.6952582119516078,0.7470181567388785,Drilling,No clear abnormal zone
85,0.8565821219548468,0.5917928802298857,0.8445768096491761,0.8565821219548468,Drilling,No clear abnormal zone
86,1.3406692378389133,1.2453324488867796,1.6681519471326096,1.6681519471326096,Assembly,Assembly
87,0.2760844719597945,0.20742420902346015,0.34062658118602457,0.34062658118602457,Assembly,No clear abnormal zone
88,0.9219624270093005,0.8514630891618142,0.9445270584175913,0.9445270584175913,Assembly,No clear abnormal zone
