Row,Defect,Drilling_Stress,Milling_Stress,Assembly_Stress,Max_Stress,Most_Abnormal_Zone,Zone_Status,Likely_Zone,Zone_Confidence,Drilling_Probability,Milling_Probability,Assembly_Probability,Evidence
1653,Crack,0.2973677981113096,1.1721847022039105,0.4827979412482711,1.1721847022039105,Milling,Milling,Assembly,Low,0.2938623185109307,0.35240499803160164,0.35373268345746767,Assembly stress = 0.48; Milling stress = 1.17
1654,Crack,1.2189329252794072,1.123637895816348,1.482876475413388,1.482876475413388,Assembly,Assembly,Assembly,Medium,0.36276480015970564,0.1648955891872094,0.472339610653085,Assembly stress = 1.48; Drilling stress = 1.22
1655,Crack,1.1631151373277573,0.743154274053571,0.9004992697976835,1.1631151373277573,Drilling,Drilling,Drilling,Medium,0.47674133485503345,0.15662681871135162,0.366631846433615,Drilling stress = 1.16; Assembly stress = 0.90
1656,Crack,0.5655227684585964,0.609050466731494,0.3657759458959123,0.609050466731494,Milling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1657,Crack,1.4415997474405635,1.3465771379969538,1.6684622038506898,1.6684622038506898,Assembly,Assembly,Assembly,Low,0.3690944691420726,0.16781846592482472,0.46308706493310275,Assembly stress = 1.67; Drilling stress = 1.44
1658,Crack,0.3181964515369051,0.2512818347478055,0.7149318645275345,0.7149318645275345,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1659,Crack,1.4620329113239134,0.97975495763992,0.9120718244107032,1.4620329113239134,Drilling,Drilling,Drilling,High,0.5303183027274347,0.1637027467188695,0.3059789505536957,Drilling stress = 1.46; Assembly stress = 0.91
1660,Crack,0.5460408837935862,0.6396647762004404,0.8644374152367094,0.8644374152367094,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1661,Crack,0.9852377502479884,0.9220513861265904,1.0737685061163045,1.0737685061163045,Assembly,Assembly,Assembly,Low,0.39032735903221233,0.1832135155751014,0.4264591253926863,Assembly stress = 1.07; Drilling stress = 0.99
1662,Crack,0.3587841633401046,0.3120341779680279,0.8184488632591087,0.8184488632591087,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1663,Crack,0.6982052437105903,0.694318496639684,0.5687609213352767,0.6982052437105903,Drilling,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
1664,Crack,0.3876794994002027,0.8174636938688009,0.8312265246225314,0.8312265246225314,Assembly,No clear abnormal zone,No clear abnormal zone,Low,,,,No production zone shows strong deviation from baseline.
