Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization,WIP_Stored,Drilling_Util_Pct,Milling_Util_Pct,Assembly_Util_Pct,Drilling_Score,Milling_Score,Assembly_Score,Bottleneck_Zone,Bottleneck_Score,Throughput_Gap,Throughput_Loss_Percent
4,3016,3.000782,0.0,61.576474,196,2840,3.004235,0.0,0.121813,20,2820,2.990674,0.010693,0.209029,0.148134,0.293614,216.0,20.9029,14.813399999999998,29.3614,0.209029,0.148134,0.297250653027659,Assembly,0.297250653027659,196,6.49867374005305
2,5832,3.008472,0.082476,6.292182,408,5464,3.002409,0.000974,16.716862,40,5424,2.990789,0.299688,0.405475,0.284222,0.563451,448.0,40.5475,28.422199999999997,56.3451,0.40663638101433525,0.2845136838362833,0.6653738722110804,Assembly,0.6653738722110804,408,6.995884773662551
16,11792,2.997899,4.661894,104.103279,2279,10480,2.99974,0.472127,59.012659,967,9513,3.000464,2.896571,0.815959,0.543929,0.992118,3246.0,81.5959,54.3929,99.21180000000001,0.8816051901940386,0.6853168999722092,1.977231971474737,Assembly,1.977231971474737,2279,19.326662143826322
15,10695,3.000763,2.314811,82.347326,1175,9825,2.997944,0.293254,28.941233,305,9520,3.001078,2.872071,0.739878,0.510815,0.993348,1480.0,73.98780000000001,51.081500000000005,99.3348,0.7724738769481359,0.5986357923259001,1.9701296045825978,Assembly,1.9701296045825978,1175,10.9864422627396
13,2175,3.026309,0.0,12.478962,72,2103,3.016493,0.0,4.16108,0,2103,2.992564,0.0,0.15222,0.110133,0.21852,72.0,15.222,11.0133,21.852,0.15222,0.110133,0.21852,Assembly,0.21852,72,3.310344827586207
13,9295,3.011669,0.833375,9.381476,71,9451,3.001389,0.227746,60.84398,227,9224,3.004234,2.723025,0.647609,0.492194,0.963049,298.0,64.76089999999999,49.2194,96.3049,0.6593441217665945,0.5603971077804717,1.889140565570116,Assembly,1.889140565570116,71,0.7638515330823022
6,5808,2.990022,0.068259,2.242337,41,5800,3.003893,0.015487,8.130287,33,5767,2.988811,0.405018,0.401163,0.302054,0.598748,74.0,40.1163,30.205399999999997,59.87479999999999,0.40212418515274156,0.30669189278492776,0.7364932479151227,Assembly,0.7364932479151227,41,0.7059228650137741
16,11883,3.00237,7.079427,119.814785,2403,13158,3.00315,1.755235,242.348906,3678,9480,3.011391,2.912199,0.821341,0.686032,0.992432,6081.0,82.1341,68.6032,99.2432,0.9210295410322097,1.2116723268775575,1.9828610012620986,Assembly,1.9828610012620986,2403,20.222166119666753
4,3020,2.997025,0.0,19.4843,182,2840,2.996205,0.0,11.621884,2,2838,2.996073,0.006345,0.209064,0.14773,0.295469,184.0,20.9064,14.773,29.546899999999997,0.20906400000000003,0.14773,0.29762691297676014,Assembly,0.29762691297676014,182,6.026490066225165
15,7370,3.005726,0.307086,3.723112,58,7680,3.0034,0.034513,42.281651,368,7312,3.004908,1.054996,0.512476,0.400006,0.763894,426.0,51.247600000000006,40.0006,76.3894,0.5168002137126941,0.4103416101043593,1.1226945608873256,Assembly,1.1226945608873256,58,0.7869742198100407
4,2684,3.000419,0.00021,1.535322,22,2960,3.00823,0.0,62.416262,298,2662,2.995999,0.007051,0.186021,0.154349,0.277813,320.0,18.6021,15.434899999999999,27.781299999999998,0.18602395710283004,0.154349,0.2802110211818969,Assembly,0.2802110211818969,22,0.819672131147541
4,12818,2.998972,4.865114,171.896725,3291,12342,2.995471,0.856535,175.213876,2815,9527,3.003107,2.928326,0.884591,0.64133,0.994664,6106.0,88.4591,64.133,99.4664,0.9530988208469948,0.8978365859455109,1.9905777392567732,Assembly,1.9905777392567732,3291,25.67483226712436
11,8250,2.999394,0.519254,29.204307,506,7810,3.008363,0.077021,2.58651,66,7744,3.009052,1.391863,0.572007,0.407913,0.810214,572.0,57.200700000000005,40.7913,81.0214,0.5793188451090941,0.43097848332071564,1.2835818848813794,Assembly,1.2835818848813794,506,6.133333333333333
13,11008,2.999049,2.389546,126.937765,1691,11168,2.993805,0.682214,70.272518,1851,9317,3.008164,2.725469,0.764202,0.57906,0.974268,3542.0,76.42020000000001,57.906,97.4268,0.7978502535195791,0.7833626660022425,1.9011907616796826,Assembly,1.9011907616796826,1691,15.361555232558139
5,5075,2.999909,0.031449,21.85893,14,5152,3.000475,0.008047,1.153932,91,5061,2.997442,0.235663,0.352208,0.268124,0.526803,105.0,35.220800000000004,26.812399999999997,52.6803,0.35265084727096163,0.2705338355550018,0.6069511868939691,Assembly,0.6069511868939691,14,0.27586206896551724
6,2157,2.995424,0.0,30.254228,161,2004,3.001507,0.0,3.425163,8,1996,3.001547,0.000326,0.149563,0.104213,0.208211,169.0,14.9563,10.4213,20.8211,0.149563,0.104213,0.20832187149415662,Assembly,0.20832187149415662,161,7.464070468242929
